# Created with https://www.mockaroo.com.

id,city,date,grocery,value01,amount
98,Shanting,2015-02-27,Wine - Delicato Merlot,58495.89,576002
99,Dateng,1969-08-13,Napkin White - Starched,85741.89,273530
100,Xuezhen,1977-07-24,Peas Snow,15727.29,899967
101,Lyski,2005-11-02,Beer - Blue,-28366.06,337458
102,Huesca,1946-03-10,Longos - Chicken Cordon Bleu,96681.99,-964683
103,Hämeenkoski,1989-11-23,Pie Box - Cello Window 2.5,-4153.8,812092
104,Zongzhai,1977-09-13,Cinnamon Rolls,-54366.32,302118
105,Montbrison,1962-11-30,Kiwano,98876.85,-7006
106,Podporozh’ye,1997-11-30,Sauerkraut,-17274.09,-62615
107,Motomiya,1999-06-03,Spaghetti Squash,16387.58,-805027
108,Dhrosiá,2016-04-14,Jam - Raspberry,32451.22,627698
109,Gaotang,1902-10-03,Sour Puss Raspberry,-68579.33,-694169
110,Sosándra,1993-12-16,Longos - Chicken Cordon Bleu,44105.27,-824988
111,Pomacanchi,1981-01-09,"Syrup - Monin, Irish Cream",-33413.81,522424
112,Kamenický Šenov,1978-03-20,"Mushroom - Chanterelle, Dry",71170.25,-642278
113,Djibo,1969-04-08,Bandage - Fexible 1x3,-50756.82,871425
114,Tangzhai,1977-02-18,Juice - Happy Planet,-96685.6,947969
115,Luotang,1942-11-26,Puree - Blackcurrant,41444.11,-581704
116,Krajan,1972-12-10,Oil - Olive Bertolli,84144.61,-698189
117,Gwoźnica Górna,1903-06-20,Jameson - Irish Whiskey,-1385.49,-886862
118,Dalakovo,1918-05-11,Chambord Royal,13959.58,570678
119,Montgomery,2001-10-11,Beer - Moosehead,-67576.58,-186781
120,Wailiang,1960-07-19,Calypso - Black Cherry Lemonade,6192.21,-609177
121,Būrabay,1965-09-02,Vinegar - Balsamic,-77151.59,539190
122,Xichang,1911-05-17,Pail For Lid 1537,-5980.74,814459
123,Paços,1909-11-25,Island Oasis - Magarita Mix,-82011.1,-5469
124,Boca Suno,1940-07-11,Cake - French Pear Tart,-10342.07,-479614
125,Bharatpur,1907-09-18,Sponge Cake Mix - Chocolate,-60531.83,-735989
126,Abuko,2005-05-12,Towel Dispenser,-4756.07,707550
127,Fort Worth,1933-11-13,Water - Tonic,52896.87,243991
128,Vidnoye,1969-03-08,"Juice - Cranberry, 341 Ml",-42447.09,-47133
129,Dukla,1902-12-19,Wiberg Cure,89047.52,924622
130,Selorejo,1975-07-20,"Vermouth - White, Cinzano",58656.76,-406551
131,Labo,2007-02-19,Carbonated Water - White Grape,59009.64,914970
132,Krivodanovka,1969-06-18,Mikes Hard Lemonade,-49578.76,59004
133,Al Khushnīyah,1935-10-30,Napkin Colour,-28972.02,-169034
134,Hod HaSharon,1981-02-10,Jameson Irish Whiskey,86175.17,312834
135,Lökbatan,1903-08-02,Pastry - Choclate Baked,-43762.91,509269
136,Quinta,1911-08-13,Quiche Assorted,45489.0,237298
137,Jieheshi,1965-09-26,Cheese - Gouda Smoked,-11586.5,-726666
138,Bianxiong,1951-05-18,Coffee - Espresso,17727.33,65939
139,Valencia,1948-12-08,Brandy Cherry - Mcguinness,6627.44,-245564
140,Bokoro,2005-12-08,Pails With Lids,-55354.83,-540258
141,Seboruco,1995-05-12,Cheese - Camembert,90517.98,831931
142,Zhoujiadian,1957-04-03,Cheese - Brick With Onion,61877.73,-215208
143,Yerevan,1974-09-09,"Tart Shells - Sweet, 2",70670.41,642994
144,Binglincha,2014-03-17,Chocolate Bar - Reese Pieces,96185.82,-713255
145,Michałowo,1989-04-07,Olives - Stuffed,-45976.35,-575759
146,Orós,1950-01-25,Bulgar,-72432.01,-828490
147,Mâcon,1988-04-02,Muffin - Zero Transfat,-77362.74,-80839
148,Kumba,1933-04-26,Fireball Whisky,-8216.43,-633029
149,Kónitsa,1980-02-15,Tomatoes - Roma,2978.12,247271
150,Moquegua,2004-07-16,Trout - Smoked,-15184.4,162065
151,Juai,1955-05-07,"Bread - Sticks, Thin, Plain",99910.45,-376054
152,Guayaramerín,2007-12-01,Gelatine Leaves - Envelopes,-22304.01,-933719
153,Shreveport,1949-01-15,Cod - Fillets,93747.4,848717
154,Kalá Déndra,1927-07-19,Drambuie,4164.42,-417314
155,Cipanas,1918-05-07,"Capon - Breast, Double, Wing On",17508.71,787764
156,Santo Domingo,1961-06-18,Mcgillicuddy Vanilla Schnap,-40872.39,-82737
157,Sankt Andrä-Höch,1904-04-10,Rice - Long Grain,-45435.6,-208663
158,Khyzy,1953-02-26,Truffle Cups - Red,-66476.15,276381
159,Bishkek,1925-08-30,Muffin Hinge 117n,80023.02,235107
160,Ağdaş,1932-11-02,Southern Comfort,-70068.45,-231881
161,Saripin,2009-07-16,Wine - Savigny - Les - Beaune,74238.38,72930
162,Matungao,1954-04-10,Zucchini - Yellow,58793.54,323631
163,Manjakandriana,1932-10-30,Vol Au Vents,-13576.14,92921
164,Francisco I Madero,1997-07-28,Cookie Double Choco,88138.48,721410
165,Ceper,1937-11-23,Chocolate - Unsweetened,81151.75,-464929
166,El Carmen,1987-07-06,Cinnamon Rolls,-57483.12,-812123
167,Senduro,1957-03-15,Creme De Banane - Marie,86800.53,-973987
168,Działoszyce,1955-10-02,Bagel - Plain,68890.69,-185552
169,Gijon,1985-06-14,"Pork - Loin, Bone - In",71472.1,-198055
170,Montgomery,1977-02-11,Flour Pastry Super Fine,-37428.84,-487967
171,Wenquan,1951-06-22,Wine - Rioja Campo Viejo,79835.67,-928483
172,Simajia,1996-01-25,Sauce - Marinara,50925.46,-790666
173,Kamennyye Potoki,1977-01-04,Appetizer - Mango Chevre,12449.8,583757
174,Jīsh,1902-09-09,Durian Fruit,-18485.0,-644176
175,Xianhe,1981-07-29,Jolt Cola - Red Eye,72661.05,287393
176,Tullyallen,1912-01-13,Cookie - Oatmeal,-16328.18,-91471
177,Owerri,2011-01-19,Island Oasis - Peach Daiquiri,23153.29,-312162
178,Zhouhe,1924-04-23,Beer - Sleeman Fine Porter,58778.38,160315
179,Guiwu,1916-01-17,"Artichokes - Knobless, White",38239.67,-125392
180,Ciparasi,1948-10-28,Bagel - Sesame Seed Presliced,-98740.84,-504556
181,Sekampung,1974-04-07,Curry Powder,22464.78,-474402
182,Morohongō,2010-11-10,Sambuca Cream,23185.48,931056
183,Wucheng,1942-01-22,Cauliflower,-53996.72,980580
184,Chiriguaná,1948-04-30,Tomato Puree,-54903.01,-958485
185,Cagayan,2015-03-04,Tea - Herbal - 6 Asst,-18401.39,812083
186,Ấp Tân Ngãi,2012-12-04,Chinese Foods - Pepper Beef,-19804.66,243788
187,Gävle,1907-04-21,Eggplant Italian,-55451.18,883634
188,Sutton,2002-09-06,Sugar - Splenda Sweetener,-5272.46,-473195
189,Pekuwon,1906-05-22,Tea - Green,-34138.49,286868
190,Bangunharja,1992-02-24,Crush - Cream Soda,13703.99,480033
191,Giesteira,1994-03-12,Veal - Inside,25563.33,447623
192,Xianshuigu,1972-02-22,Kahlua,-51271.63,11231
193,Mocajuba,1994-02-16,"Shrimp - Baby, Warm Water",14226.07,-405622
194,Zhongzhou,2010-12-01,"Doilies - 8, Paper",-1568.46,860400
195,Al Ḩāmūl,1909-01-01,Beans - Yellow,49092.81,184862
196,Pinamalayan,2004-11-16,Wine - Cousino Macul Antiguas,5463.03,64420
197,Kafr Thulth,2012-12-17,Ice Cream - Turtles Stick Bar,35738.07,-954410
198,Domampot,1926-01-24,"Pepper - Black, Ground",86192.33,-217468
199,Chaloem Phra Kiat,1935-04-08,"Club Soda - Schweppes, 355 Ml",-57018.41,656622
200,Kusak,1995-05-20,Graham Cracker Mix,-39213.26,-658100
201,Fanzeres,1941-08-03,Wine - Kwv Chenin Blanc South,9794.52,982613
202,Belo sur Tsiribihina,1985-04-27,Carbonated Water - Raspberry,12994.84,557059
203,Tlogosari,2003-03-27,Plums - Red,-29411.91,541080
204,Nghĩa Hành,1978-05-05,Pepper - Gypsy Pepper,-19212.57,454880
205,Xianyuan,2008-03-25,Wine - Masi Valpolocell,-57255.29,465538
206,Xianghua,1964-11-08,Wine - Shiraz South Eastern,54711.78,-505129
207,Betong,1929-02-15,Wine - Rubyport,-69762.41,-624387
208,Pancol,1909-01-14,"Juice - Orange, 341 Ml",24992.5,-985432
209,Sal’sk,1986-04-02,Island Oasis - Pina Colada,53891.26,832000
210,Saitama,1917-12-27,Veal - Loin,-21611.41,855441
211,Lipnik,1988-03-05,Pastry - Baked Cinnamon Stick,98270.36,52465
212,Nkpor,1946-12-29,Kahlua,96144.66,919312
213,General Alvear,1964-08-19,"Salmon - Atlantic, Fresh, Whole",-89341.01,-768536
214,Songying,1973-02-06,Basil - Fresh,-54706.39,144867
215,Kulunda,2015-05-31,Beef - Diced,-95144.45,281694
216,Ondores,1961-11-20,Oil - Margarine,-70196.9,208289
217,El Crucero,2007-08-12,Plaintain,-83984.34,215989
218,Dietaisi,1921-01-04,"Shrimp - 16 - 20 Cooked, Peeled",32690.38,337539
219,Windsor,1942-07-19,"Tortillas - Flour, 10",-5982.48,-776077
220,Klapagada,1930-02-14,Flour - Strong Pizza,90386.59,662971
221,Kupchino,1932-01-08,Sauce Bbq Smokey,51554.23,-309348
222,Podgortsy,1944-06-15,Mushroom Morel Fresh,-92094.0,445830
223,Nogueira,1945-01-25,Banana,77384.65,-738127
224,Chlumec,1954-05-03,Flour - Fast / Rapid,-20915.48,491017
225,Guadalupe,1972-12-28,Cafe Royale,21170.39,650937
226,Uglovoye,1946-06-15,Cups 10oz Trans,-74666.61,312481
227,Kribi,1996-07-20,Fudge - Chocolate Fudge,-35043.02,800983
228,Eskilstuna,1917-10-14,Cake - Bande Of Fruit,76425.92,93466
229,Selorejo,1996-11-28,Cheese - Victor Et Berthold,-21604.0,360738
230,Bayonne,1911-09-05,Cheese - Grana Padano,708.87,450288
231,Roissy Charles-de-Gaulle,1976-12-10,Cream - 10%,-47566.53,662040
232,San José de Ocoa,1958-02-12,Juice - Ocean Spray Cranberry,-21772.62,927675
233,Mende,1934-10-28,Spring Roll Wrappers,-17017.8,-44887
234,Sar Chakān,1998-04-05,Straw - Regular,-31793.65,-883375
235,Abricots,1997-01-14,Salt - Celery,67684.11,809197
236,Makedonski Brod,1960-07-30,Sobe - Tropical Energy,-84461.67,591505
237,Mŭglizh,1938-01-05,Cookie Double Choco,70639.28,-655971
238,Tver,1976-05-27,"Appetizer - Spring Roll, Veg",-30052.06,-2230
239,Hînceşti,1997-07-09,"Pork - Butt, Boneless",60798.71,584302
240,Medvedevo,1902-01-23,Fudge - Cream Fudge,-45782.36,422410
241,Hongkou,1921-01-01,Wine - Charddonnay Errazuriz,-51503.42,469738
242,Hengqiao,1996-12-19,Grand Marnier,-64182.64,-485012
243,Hirado,2001-01-06,Olive - Spread Tapenade,34357.19,-435831
244,Orange Farm,1945-09-11,Straws - Cocktale,82678.83,-806867
245,Sérifos,1966-03-10,Cake - Night And Day Choclate,-9234.31,620933
246,Nangerang,1904-12-19,Bread Crumbs - Panko,-95810.09,-533084
247,Abuochiche,1977-05-15,Cheese - Ricotta,18205.42,-579686
248,Uujim,1969-01-03,Mustard Prepared,51976.89,-416080
249,Lipinki Łużyckie,1979-10-02,Pork - Shoulder,-43106.39,-941032
250,Longtan,1918-04-05,Versatainer Nc - 8288,-96066.63,87937
251,Elx/Elche,1943-12-27,Sage - Fresh,8343.18,654220
252,Bāglung,1903-05-17,Wine - Shiraz Wolf Blass Premium,-47928.82,-30359
253,Jiuzhou,2001-02-27,"Chilli Paste, Hot Sambal Oelek",-28885.13,961461
254,Sosnovka,1958-07-14,"Mushroom - Trumpet, Dry",-30371.22,989017
255,Yaopi,1975-10-03,Tomatoes - Yellow Hot House,-49084.96,-658797
256,Aozou,1935-06-15,French Pastry - Mini Chocolate,55930.56,734165
257,Shuikou,1977-10-31,Energy Drink - Franks Original,71522.15,91424
258,Santa Rita,1981-07-23,Chocolate - Semi Sweet,-22709.94,988539
259,Caluquembe,1953-04-16,Muffin - Mix - Bran And Maple 15l,94966.58,-329993
260,Sarāb,2013-01-01,Squid - U - 10 Thailand,-24553.21,-505837
261,Brangsi,1916-11-03,Pepper - Red Bell,-98377.26,-195210
262,Dapeng,1926-07-14,"Basil - Dry, Rubbed",59621.87,207891
263,Tsu-shi,1905-08-22,"Chicken - Base, Ultimate",-28987.58,633377
264,Norrtälje,2017-06-20,Lamb - Shoulder,45097.61,973566
265,Ganzi,1962-10-02,"Wine - White, Chardonnay",57096.8,-996608
266,Kamiichi,1929-06-22,"Quail - Eggs, Fresh",-1348.2,-351209
267,Kogon,1996-08-07,Venison - Striploin,-83785.03,407151
268,Kelasuri,1909-10-06,"Bread - Roll, Calabrese",90530.11,30958
269,Cincinnati,1938-08-19,Emulsifier,-28969.69,-5796
270,Mabilog,1922-06-19,Tahini Paste,34479.19,-43354
271,Cihaur,2014-08-08,Bread - 10 Grain,25440.03,-234077
272,Barranca de Upía,1906-10-16,"Ranchero - Primerba, Paste",-81423.29,370940
273,Mandikbatu,1942-12-19,Sauce Tomato Pouch,-43454.55,-911716
274,Bayt ‘Anān,1970-05-23,Mackerel Whole Fresh,15275.32,-956548
275,Vũ Quang,1982-11-28,Banana,55584.73,462620
276,Corumbá,2008-04-06,"Radish - Black, Winter, Organic",70134.79,780870
277,Qitai,1911-02-28,Beef - Shank,9695.39,3587
278,Youyang,1940-12-30,Absolut Citron,48282.71,767187
279,Chejiazhuang,1970-09-03,"Lamb - Racks, Frenched",7750.08,-427468
280,Malasin,1912-03-11,Curry Powder,85291.51,371157
281,Klapagada,1963-03-31,Icecream Cone - Areo Chocolate,85792.39,-994800
282,Rybnoye,1989-04-30,"Pork - Loin, Bone - In",64482.67,-151622
283,Omu Aran,1918-03-06,"Asparagus - White, Fresh",38148.22,-301240
284,Jiangchang,1994-10-01,Sugar - Fine,-71474.11,180449
285,Candelaria,2011-10-19,Wine - Cousino Macul Antiguas,57667.57,-710053
286,Sofo-Birnin-Gwari,1914-11-06,Beef - Top Butt Aaa,-28368.65,434485
287,San Diego,1927-08-25,Ecolab - Lime - A - Way 4/4 L,8279.41,-604935
288,Slavuta,1949-09-25,Puree - Mocha,-27129.31,335770
289,Summerside,1901-06-25,Pepper - Red Chili,-55112.35,306738
290,Sindangan,1940-09-03,Orange Roughy 6/8 Oz,80369.95,-799441
291,Ipoh,1916-02-21,"Halibut - Whole, Fresh",16613.05,-623937
292,Bhalwāl,1907-08-09,Wine - Magnotta - Cab Sauv,57344.4,363987
293,Slavgorod,1993-03-09,Higashimaru Usukuchi Soy,-10106.29,535472
294,Fenoarivo Atsinanana,1988-05-13,Bay Leaf Ground,-39864.64,-426732
295,Linköping,2011-08-06,Cheese - Swiss,64374.61,935491
296,Wuning,1998-03-12,Fennel - Seeds,3543.52,-193662
297,Kampen (Overijssel),1944-04-27,Foie Gras,-85989.18,613612
298,San Francisco,1978-02-10,Sugar - White Packet,-95892.41,938696
299,São João de Caparica,1902-12-20,Greens Mustard,85837.99,-727758
300,Przesmyki,1998-01-07,Oyster - In Shell,99734.64,169635
301,Torzhok,1990-08-24,Peas Snow,-29220.96,866024
302,La Goulette,1919-09-13,"Wine - Bourgogne 2002, La",80523.46,-478588
303,Yong’an,1939-03-16,Mussels - Frozen,18521.46,262487
304,Yilan,1971-12-20,Carbonated Water - Blackberry,-64006.79,-726668
305,Itapaci,1949-12-03,Wine - Two Oceans Cabernet,-48297.75,625118
306,Coronel Martínez,1914-05-04,Sauce - Caesar Dressing,-59786.15,-751609
307,Passo Fundo,1970-03-14,Cheese - Taleggio D.o.p.,51149.79,-525187
308,Lesnoye,1999-10-29,Cookie Choc,-35720.8,-818829
309,Podporozh’ye,1990-11-18,Mountain Dew,71778.82,727613
310,Makoko,1968-09-25,Cocoa Feuilletine,21880.34,318606
311,Tangjian,2014-01-14,Sauce - Fish 25 Ozf Bottle,7978.37,-731243
312,Niquelândia,1914-04-01,Hog / Sausage Casing - Pork,-54002.34,315074
313,Koina,1996-05-01,Lid Coffeecup 12oz D9542b,66011.5,-385340
314,Xiatang,1949-08-09,"Soup - Campbells, Classic Chix",76053.96,592840
315,Donomulyo,2019-10-09,Lamb - Shanks,-34302.99,662
316,Dubova (Driloni),1940-08-13,"Loaf Pan - 2 Lb, Foil",9298.82,203807
317,Outokumpu,1978-05-06,Tamarillo,-78269.59,-558149
318,Zakupne,1981-03-02,Butcher Twine 4r,16935.8,871413
319,Naekan,1965-06-22,Oysters - Smoked,-84798.5,414207
320,Shangyi,2005-11-02,Lemons,52241.71,-272290
321,Tadianjie,1992-02-02,Nantucket Cranberry Juice,-73592.21,-113878
322,Xinhe,1960-08-29,Sping Loaded Cup Dispenser,33521.5,-38588
323,Vidnoye,1951-04-18,Soup Campbells - Italian Wedding,73600.33,-737668
324,Nuits-Saint-Georges,1960-07-08,Syrup - Pancake,31915.54,829156
325,Vidoši,1990-02-22,Spice - Montreal Steak Spice,16432.16,175014
326,Huntsville,1964-02-07,"Quail - Whole, Bone - In",-92307.16,976090
327,Bierawa,2006-09-27,Ezy Change Mophandle,-87983.34,-98499
328,Xicheng,1938-06-07,Peach - Fresh,-66519.4,777982
329,Kuhmalahti,2016-11-25,Ice Cream Bar - Rolo Cone,38326.42,307952
330,Ketang,1901-04-02,Tea - Apple Green Tea,-79481.23,595056
331,Dalongdong,1955-01-11,Bagel - Sesame Seed Presliced,13429.26,-178721
332,Kajiki,1918-03-29,Muffin - Mix - Creme Brule 15l,44972.78,705576
333,Kakata,1919-10-22,"Peas - Pigeon, Dry",76108.42,540722
334,Caoxi,1966-01-08,Sachet,-64031.22,639978
335,Qasr Abu Hadi,1983-08-04,Container Clear 8 Oz,-67145.17,849167
336,San Jose,2000-05-18,Pickle - Dill,80964.98,-419274
337,Napu,1920-10-24,Cake - Lemon Chiffon,-32751.95,-312145
338,Pimentel,1960-03-31,Wine - Pinot Noir Latour,-77434.7,-326678
339,Alagoinhas,1958-09-05,Wine - Riesling Dr. Pauly,-41123.54,153245
340,Pointe-à-Pitre,1968-11-02,Beef Dry Aged Tenderloin Aaa,88974.44,-227221
341,Luna,1971-03-06,Flour - Rye,-89869.67,381993
342,Shache,1928-11-22,Mangostein,-95336.56,-629529
343,Odeleite,1991-05-28,Rice - 7 Grain Blend,-1747.21,-458906
344,Jēkabpils,1949-08-26,Ecolab - Lime - A - Way 4/4 L,-45443.0,-739860
345,Sandwīp,1919-06-22,Spice - Chili Powder Mexican,-30428.92,-13147
346,Pingfeng,1978-09-16,Pail For Lid 1537,-12813.1,621055
347,Minapan,1949-07-16,"Nut - Cashews, Whole, Raw",57033.45,515098
348,Nangabulik,1978-10-06,Pur Value,-1721.85,-68951
349,Gununganyartambak Tengah,1919-12-19,Sauce - Rosee,-7402.04,853146
350,Al Khawkhah,2016-07-18,Garlic - Peeled,-61042.06,138746
351,Sumbawa Besar,1904-07-08,Cheese - Mascarpone,-45143.91,-764975
352,Venda do Alcaide,1911-05-23,"Nut - Pistachio, Shelled",48899.0,271509
353,La Paz,1973-05-09,Salt - Table,86089.65,606716
354,Yujiawu,1927-01-10,Salmon - Canned,-61173.19,564771
355,Vilarinho das Cambas,1923-10-15,Wine - Shiraz Wolf Blass Premium,55315.6,-462986
356,Kamwenge,1940-04-30,Egg - Salad Premix,78492.37,743277
357,Hegarsari,1907-10-16,Lid Coffee Cup 8oz Blk,-30734.0,-958037
358,Olutanga,2017-07-11,Corn Syrup,32422.02,-394866
359,Cruzeiro,1973-07-09,Green Tea Refresher,-47564.69,875820
360,Dongming Chengguanzhen,2014-01-18,Cheese - Montery Jack,-80244.63,-788308
361,Nantian,1998-08-06,Curry Paste - Madras,-85162.91,371684
362,København,1962-07-03,Beef - Short Ribs,-85644.36,-186705
363,Lubao,2015-06-13,Bag - Clear 7 Lb,-16999.3,-436425
364,Doubrava,2018-11-27,Bagel - Whole White Sesame,5774.77,372054
365,Banatski Despotovac,1992-10-05,Pork - Back Ribs,82444.19,-818088
366,La Mula,2005-11-19,Bread - Pain Au Liat X12,-50057.01,-171900
367,Vatutino,1968-02-26,Ecolab - Hobart Washarm End Cap,-25293.79,-711254
368,Asopós,1934-03-08,Veal Inside - Provimi,39192.67,638323
369,Lubuk Sikaping,1976-04-15,"Fish - Halibut, Cold Smoked",-67843.57,669326
370,Longotea,1991-11-12,Cake - Sheet Strawberry,9935.54,44486
371,Bolboc,1976-05-26,"Tart Shells - Savory, 3",75811.79,-462638
372,Izumiōtsu,1938-10-03,Oil - Canola,-19443.05,249904
373,Danidehe,1980-08-26,Clementine,99546.3,-430493
